cluster_id,dimensionality,subspace,n_dense_units,n_points,point_fraction,activity_0_count,activity_1_count,activity_1_fraction
99,1,D118,1,3371,0.8986936816848841,1517,1854,0.5499851676060517
187,1,D458,2,3371,0.8986936816848841,1594,1777,0.5271432809255414
224,1,D685,1,3371,0.8986936816848841,1609,1762,0.5226935627410264
177,1,D361,1,3366,0.8973607038123167,1581,1785,0.5303030303030303
209,1,D611,1,3364,0.8968275126632897,1590,1774,0.5273483947681332
240,1,D841,1,3362,0.8962943215142629,1532,1830,0.5443188578227246
242,1,D843,1,3362,0.8962943215142629,1480,1882,0.5597858417608567
58,1,D66,2,3361,0.8960277259397494,1551,1810,0.5385301993454329
62,1,D70,4,3361,0.8960277259397494,1486,1875,0.5578696816423684
122,1,D157,1,3357,0.8949613436416956,1557,1800,0.5361930294906166
179,1,D415,2,3357,0.8949613436416956,1540,1817,0.5412570747691391
133,1,D173,2,3355,0.8944281524926686,1466,1889,0.5630402384500746
230,1,D739,2,3352,0.8936283657691282,1602,1750,0.5220763723150358
136,1,D180,1,3349,0.8928285790455879,1469,1880,0.5613616004777545
250,1,D937,1,3348,0.8925619834710744,1568,1780,0.5316606929510155
190,1,D462,1,3343,0.891229005598507,1569,1774,0.5306610828597068
239,1,D808,2,3342,0.8909624100239936,1564,1778,0.5320167564332735
26,1,D29,2,3341,0.8906958144494801,1542,1799,0.5384615384615384
118,1,D152,4,3338,0.8898960277259398,1522,1816,0.5440383463151588
249,1,D936,1,3338,0.8898960277259398,1582,1756,0.5260635110844817
233,1,D747,2,3334,0.8888296454278859,1612,1722,0.5164967006598681
93,1,D106,3,3333,0.8885630498533724,1528,1805,0.5415541554155415
77,1,D88,2,3332,0.888296454278859,1600,1732,0.5198079231692677
248,1,D934,1,3332,0.888296454278859,1529,1803,0.5411164465786314
52,1,D59,1,3330,0.887763263129832,1481,1849,0.5552552552552552
126,1,D162,3,3330,0.887763263129832,1563,1767,0.5306306306306307
176,1,D360,1,3330,0.887763263129832,1562,1768,0.5309309309309309
223,1,D675,1,3329,0.8874966675553185,1588,1741,0.5229798738359868
96,1,D109,1,3327,0.8869634764062917,1505,1822,0.5476405169822663
175,1,D336,1,3326,0.8866968808317782,1537,1789,0.5378833433553818
219,1,D662,1,3326,0.8866968808317782,1520,1806,0.5429945880938064
173,1,D227,1,3325,0.8864302852572647,1517,1808,0.5437593984962406
132,1,D168,1,3323,0.8858970941082378,1500,1823,0.5486006620523624
128,1,D164,1,3322,0.8856304985337243,1598,1724,0.5189644792293799
164,1,D214,1,3322,0.8856304985337243,1598,1724,0.5189644792293799
217,1,D660,2,3320,0.8850973073846974,1612,1708,0.5144578313253012
214,1,D626,1,3317,0.8842975206611571,1562,1755,0.5290925535122099
199,1,D583,1,3313,0.8832311383631032,1474,1839,0.555086024750981
41,1,D48,2,3307,0.8816315649160223,1552,1755,0.530692470517085
208,1,D610,1,3306,0.881364969341509,1577,1729,0.5229885057471264
29,1,D32,2,3305,0.8810983737669955,1501,1804,0.545839636913767
178,1,D373,2,3298,0.8792322047454012,1532,1766,0.5354760460885385
189,1,D460,1,3297,0.8789656091708877,1557,1740,0.5277525022747953
9,1,D9,3,3294,0.8781658224473474,1421,1873,0.5686095931997571
33,1,D37,1,3294,0.8781658224473474,1521,1773,0.5382513661202186
127,1,D163,1,3294,0.8781658224473474,1422,1872,0.5683060109289617
204,1,D598,1,3291,0.877366035723807,1571,1720,0.5226374962017624
231,1,D740,1,3289,0.8768328445747801,1563,1726,0.5247795682578291
227,1,D688,1,3279,0.8741668888296454,1601,1678,0.511741384568466
188,1,D459,2,3278,0.873900293255132,1537,1741,0.5311165344722392
3,1,D4,1,3277,0.8736336976806185,1481,1796,0.5480622520598109
182,1,D418,1,3271,0.8720341242335378,1513,1758,0.5374503210027515
75,1,D86,1,3270,0.8717675286590243,1451,1819,0.5562691131498471
185,1,D449,1,3269,0.8715009330845108,1414,1855,0.5674518201284796
180,1,D416,1,3265,0.8704345507864569,1546,1719,0.5264931087289434
238,1,D807,2,3265,0.8704345507864569,1505,1760,0.5390505359877489
134,1,D175,1,3263,0.86990135963743,1391,1872,0.5737051792828686
49,1,D56,2,3262,0.8696347640629165,1555,1707,0.523298589822195
76,1,D87,3,3262,0.8696347640629165,1543,1719,0.5269773145309626
88,1,D103,3,3256,0.8680351906158358,1402,1854,0.5694103194103194
100,1,D119,1,3253,0.8672354038922954,1457,1796,0.5521057485398094
73,1,D83,4,3244,0.8648360437216742,1589,1655,0.5101726263871763
226,1,D687,1,3243,0.8645694481471607,1565,1678,0.5174221399938329
225,1,D686,1,3241,0.8640362569981338,1515,1726,0.5325516815797593
109,1,D136,3,3240,0.8637696614236203,1415,1825,0.5632716049382716
192,1,D470,1,3231,0.8613703012529992,1492,1739,0.5382234602290312
119,1,D155,1,3227,0.8603039189549454,1434,1793,0.5556244189649829
159,1,D207,2,3223,0.8592375366568915,1409,1814,0.562829661805771
114,1,D145,3,3222,0.858970941082378,1477,1745,0.5415890751086282
129,1,D165,1,3215,0.8571047720607838,1472,1743,0.5421461897356143
165,1,D215,1,3215,0.8571047720607838,1472,1743,0.5421461897356143
193,1,D472,1,3210,0.8557717941882165,1496,1714,0.5339563862928349
97,1,D110,1,3208,0.8552386030391895,1442,1766,0.550498753117207
