gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,mean_within_gower,eigengap,kmeans_inertia_spectral,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,10,0.13156084887894015,0.4299468317683196,0.3933238844528523,0.0006450372202751343,940.899431361443,False,188,136,844,"[354, 443, 844, 449, 378, 324, 383, 173, 136, 267]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,9,0.12975556588313097,0.43679473722318046,0.27695397138238625,0.0009552925323451367,927.0446614511011,False,188,177,853,"[379, 853, 440, 310, 509, 327, 191, 177, 565]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,10,0.1292069443003173,0.4179575158482303,0.33571864992846573,0.0006751918332912263,975.2181868947414,False,188,137,845,"[441, 381, 450, 845, 137, 324, 344, 276, 175, 378]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,10,0.1279733031612767,0.3963862887035061,0.33544056628146784,0.0001660703389696676,1038.020840505203,False,188,139,831,"[139, 831, 453, 378, 441, 345, 322, 380, 173, 289]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,10,0.12717874940938792,0.5054464470239212,0.27811757060017195,0.002150986687622654,708.7676166740404,False,188,119,874,"[328, 301, 874, 379, 555, 119, 249, 352, 181, 413]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,10,0.12604479369676064,0.3751122338668209,0.12786627224736424,0.001532488292723391,884.6783426522472,False,188,173,614,"[490, 323, 614, 274, 437, 308, 491, 302, 339, 173]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,9,0.12458803955676903,0.5198014404991044,0.33715522481028093,0.007504860916998923,686.9694702332085,False,188,176,880,"[560, 880, 329, 361, 383, 355, 409, 298, 176]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,7,0.12452637317664561,0.5867120074779315,0.28901645707079876,0.002354808044821202,525.9433562648612,False,188,115,1056,"[1056, 634, 606, 496, 379, 115, 465]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,9,0.12123408986976233,0.42876787783718917,0.33689871308888997,0.00020448049863373884,945.3804678420167,False,188,173,856,"[173, 429, 511, 856, 379, 502, 417, 293, 191]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,10,0.12008316491998602,0.3736392767219814,0.26516945965932204,0.0001556402653330876,1084.829669169863,False,188,173,588,"[416, 367, 385, 483, 588, 408, 270, 323, 338, 173]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,10,0.11928096554255553,0.39654218597250207,0.27582005200584,0.0007407489455086742,1027.5574267545849,False,188,137,738,"[378, 381, 439, 323, 738, 137, 440, 363, 378, 174]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,9,0.11752124093070548,0.4137774127886435,0.27858612635451757,0.00011386682929678035,980.0946465838324,False,188,173,844,"[844, 509, 499, 422, 173, 193, 302, 429, 380]"
classic,,,0.1937503218650818,2.0,0.3875006437301636,10,0.11263880800798437,0.30945865992357446,0.13226047784985095,0.00017522659462409227,1201.7055485005008,False,188,173,608,"[520, 608, 263, 350, 334, 492, 173, 277, 333, 401]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,9,0.10947882668792175,0.39857194450591305,0.12440625883354947,0.0008386126126733763,797.3849819750583,False,188,173,747,"[305, 681, 747, 256, 460, 485, 374, 270, 173]"
classic,,,0.1937503218650818,2.0,0.3875006437301636,9,0.10207352179633607,0.33998877572665653,0.13463004094588896,0.00016026050329115676,1149.5984760416832,False,188,173,609,"[318, 600, 522, 500, 609, 312, 173, 297, 420]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,7,0.09659078396336587,0.3871248088703897,0.14073608316566064,0.0018363841600353564,961.2252150116626,False,188,173,743,"[552, 685, 552, 617, 743, 173, 429]"
classic,,,0.1937503218650818,2.0,0.3875006437301636,8,0.09632188296268543,0.33009268707136746,0.13536350363124097,0.0003157238182423328,1112.7895079804684,False,188,173,754,"[276, 675, 754, 563, 526, 336, 173, 448]"
classic,,,0.1937503218650818,2.0,0.3875006437301636,7,0.09613204009538664,0.37077354843094307,0.1408735797052537,0.0010684381599783085,991.3796388544481,False,188,173,745,"[523, 683, 745, 578, 173, 616, 433]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,10,0.08616133604988374,0.6278181697926215,0.15385172154587937,0.009047744687774834,74.98796859249731,False,188,14,890,"[890, 644, 845, 87, 785, 15, 426, 19, 14, 26]"
